Year,SeqNumber,identity,Yrs_exp,Education,Top_J_Pubs,Ref_J_Pubs,Textbooks,Research_Books,Other_Pubs,Salary,Summer,summer_yrs,res_budget,move_supp,tch_load,Tenure_Req_Lvl,Tenure_Req_A,Tenure_Req_tot,Position,location,pub_prvt,Union,Country,Region,schl_deg,accredit,Accepted_ornot,Tch/Res,%_Summer,%_Budget,tot_J pubs
2000/2001,11,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$71,004","$5,917",2,NA,"$3,000",6,NA,NA,NA,Asst,urban,public,No,USA,US W.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,12,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$65,000",NA,NA,"$6,500","$1,800",4,NA,NA,NA,Asst,urban,mixed,NA,Canada,NA,Doctorate,National,won't accept,Research (<=4),0,1,0
2000/2001,13,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$76,500","$17,000",2,"$4,000","$5,000",5,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,14,NA,0,Phd/DBA,NA,NA,NA,NA,NA,"$77,000","$7,000",2,NA,"$3,000",5,NA,NA,NA,Asst,urban,public,No,USA,US W.,Masters,National,might accept,Teach (>4),1,0,0
2000/2001,15,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$70,000","$4,000",2,NA,"$5,000",6,NA,NA,NA,Asst,rural,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,16,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$76,000","$5,000",2,NA,"$5,000",6,NA,NA,NA,Asst,suburban,private,No,USA,US N.E.,Masters,Regional,won't accept,Teach (>4),1,0,0
2000/2001,17,NA,6,Phd/DBA,NA,NA,NA,NA,NA,"$87,500","$21,500",4,"$2,500","$6,000",4,NA,NA,NA,switched Asst,rural,private,No,USA,US M.W.,unspecified,National,Have accepted,Research (<=4),1,1,0
2000/2001,18,yes,5,Phd/DBA,NA,NA,NA,NA,NA,"$75,000","$5,000",1,"$2,500",NA,6,NA,NA,NA,assoc/not tenured,suburban,private,Yes,USA,US N.E.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,19,yes,5,Phd/DBA,NA,NA,NA,NA,NA,"$79,000","$8,000",1,"$2,500",NA,6,NA,NA,NA,assoc/not tenured,urban,public,No,USA,US S.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,20,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$77,000","$7,275",2,NA,NA,6,NA,NA,NA,Asst,urban,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,21,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,NA,"$10,000",4,NA,NA,NA,Asst,urban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,22,yes,7,Phd/DBA,NA,NA,NA,NA,NA,"$85,000","$14,166",2,"$3,000","$3,000",4,NA,NA,NA,switched Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,23,yes,7,Phd/DBA,NA,NA,NA,NA,NA,"$80,000","$8,888",2,"$1,500","$4,000",5,NA,NA,NA,switched Asst,urban,public,No,USA,US W.,Masters,National,won't accept,Teach (>4),1,1,0
2000/2001,24,yes,7,Phd/DBA,NA,NA,NA,NA,NA,"$89,000","$19,777",2,"$3,000","$2,000",4,NA,NA,NA,switched Asst,urban,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,25,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,"$6,000","$5,300",4,NA,NA,NA,Asst,urban,public,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,26,NA,0,Phd/DBA,NA,NA,NA,NA,NA,"$80,000","$10,000",2,NA,"$5,000",6,NA,NA,NA,Asst,urban,public,No,USA,US W.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,27,NA,0,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,NA,"$3,500",4,NA,NA,NA,Asst,rural,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,28,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$18,000",3,"$7,000","$5,500",3,NA,NA,NA,Asst,urban,public,No,USA,US W.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,29,NA,5,Phd/DBA,NA,NA,NA,NA,NA,"$82,000","$15,000",3,"$2,500","$5,000",5,NA,NA,NA,switched Asst,suburban,private,No,USA,US S.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,30,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$80,000","$17,777",3,"$5,000","$6,000",4,NA,NA,NA,Asst,rural,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,31,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$84,000","$14,000",2,"$1,500","$3,000",4,NA,NA,NA,Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,32,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$79,200","$17,600",3,"$2,000","$10,300",4,NA,NA,NA,Asst,rural,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,33,NA,7,Phd/DBA,NA,NA,NA,NA,NA,"$75,000","$5,000",1,NA,"$3,000",6,NA,NA,NA,switched Asst,urban,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,34,NA,7,Phd/DBA,NA,NA,NA,NA,NA,"$77,000","$6,900",2,NA,"$3,000",6,NA,NA,NA,switched Asst,urban,public,No,USA,US M.W.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,35,NA,7,Phd/DBA,NA,NA,NA,NA,NA,"$76,000",NA,NA,NA,"$4,500",6,NA,NA,NA,switched Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,36,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$21,111",3,"$3,200","$3,000",4,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,37,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$83,000","$20,000",2,NA,"$2,500",4,NA,NA,NA,Asst,rural,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,38,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$15,000",3,"$3,000","$3,000",4,NA,NA,NA,Asst,urban,public,No,USA,US W.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,39,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$84,000","$14,000",2,"$2,500","$3,000",4,NA,NA,NA,Asst,urban,public,No,USA,US S.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,40,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$85,000","$18,888",3,NA,"$8,000",3.5,NA,NA,NA,Asst,urban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,41,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$72,500",NA,NA,"$3,000","$2,500",6,NA,NA,NA,Asst,urban,private,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),0,1,0
2000/2001,42,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$97,500","$21,500",2,NA,"$3,250",4,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,43,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$72,000","$6,000",2,"$1,500","$2,000",6,NA,NA,NA,Asst,urban,private,No,USA,US S.,Masters,Regional,won't accept,Teach (>4),1,1,0
2000/2001,44,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$77,500","$6,000",2,"$2,000","$2,000",6,NA,NA,NA,Asst,urban,public,No,USA,US N.E.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,45,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$75,000","$6,000",3,"$2,000","$2,000",6,NA,NA,NA,Asst,urban,private,No,USA,US M.W.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,46,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$96,000","$21,333",3,NA,"$8,000",3,NA,NA,NA,switched Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,47,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$21,111",3,NA,"$8,000",3,NA,NA,NA,switched Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,48,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$93,000","$20,666",3,"$3,000","$7,000",4,NA,NA,NA,switched Asst,urban,public,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,49,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$19,000",3,"$3,000","$4,500",4,NA,NA,NA,Asst,urban,public,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,50,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$83,000","$14,755",3,"$2,000","$4,000",4,NA,NA,NA,Asst,urban,public,No,USA,US S.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,51,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$74,000",NA,NA,"$3,000",$-,8,NA,NA,NA,Asst,rural,public,No,USA,US M.W.,Masters,Regional,might accept,Teach (>4),0,1,0
2000/2001,52,NA,5,Phd/DBA,NA,NA,NA,NA,NA,"$81,000",NA,NA,NA,"$4,000",6,NA,NA,NA,switched Asst,suburban,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,53,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$19,800",2,"$3,000",NA,4,NA,NA,NA,Asst,urban,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,54,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$80,000","$16,000",2,NA,NA,4,NA,NA,NA,Asst,suburban,private,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,55,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$10,000",2,NA,"$10,000",4,NA,NA,NA,Asst,suburban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,0,0
2000/2001,56,NA,5,Phd/DBA,NA,NA,NA,NA,NA,"$72,000","$10,000",2,"$2,500",$-,5,NA,NA,NA,switched Asst,suburban,public,No,USA,US S.,Doctorate,National,Have accepted,Teach (>4),1,1,0
2000/2001,57,NA,10,MBA/MS,NA,NA,NA,NA,NA,"$75,000","$10,000",2,NA,"$2,000",6,NA,NA,NA,switched Asst,rural,public,No,USA,US S.,Bachelor,National,Have accepted,Teach (>4),1,0,0
2000/2001,58,NA,5,Phd/DBA,NA,NA,NA,NA,NA,"$77,500","$5,000",2,"$1,500","$5,000",6,NA,NA,NA,switched Asst,rural,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,59,yes,0,Phd/DBA,NA,NA,NA,NA,NA,"$75,000","$5,625",NA,"$1,600","$13,250",6,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,60,yes,6,Phd/DBA,NA,NA,NA,NA,NA,"$75,000","$5,000",1,NA,NA,6,NA,NA,NA,instructor,urban,public,No,USA,US S.,Masters,Regional,won't accept,Teach (>4),1,0,0
2000/2001,61,yes,6,Phd/DBA,NA,NA,NA,NA,NA,"$50,000",NA,NA,$700,"$2,500",6,NA,NA,NA,visitor,rural,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),0,1,0
2000/2001,62,yes,15,Phd/DBA,NA,NA,NA,NA,NA,"$84,000",NA,NA,NA,$-,6,NA,NA,NA,full/chair,suburban,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),0,0,0
2000/2001,63,yes,5,Phd/DBA,NA,NA,NA,NA,NA,"$78,000","$17,333",2,NA,"$5,000",2,NA,NA,NA,switched Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,64,NA,4,Phd/DBA,NA,NA,NA,NA,NA,"$78,000","$8,000",2,NA,"$6,000",4,NA,NA,NA,switched Asst,suburban,mixed,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,0,0
2000/2001,65,NA,12,Phd/DBA,NA,NA,NA,NA,NA,"$135,000",NA,NA,NA,NA,3,NA,NA,NA,full/chair,rural,mixed,No,USA,US M.W.,Masters,National,might accept,Research (<=4),0,0,0
2000/2001,66,NA,5,Phd/DBA,NA,NA,NA,NA,NA,"$110,000","$18,000",1,NA,"$12,000",2,NA,NA,NA,associate/tenure,urban,public,No,USA,NA,unspecified,National,won't accept,Research (<=4),1,0,0
2000/2001,67,yes,1,Phd/DBA,NA,NA,NA,NA,NA,"$92,000","$20,444",3,NA,"$3,000",3,NA,NA,NA,Asst,urban,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,68,yes,1,Phd/DBA,NA,NA,NA,NA,NA,"$76,000","$16,888",3,NA,NA,4,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,69,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$20,000",3,NA,"$5,000",5.5,NA,NA,NA,Asst,urban,private,No,USA,US W.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,70,NA,8,Phd/DBA,NA,NA,NA,NA,NA,"$69,000","$6,000",1,"$3,000",$-,6,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,71,yes,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$21,111",3,NA,"$8,000",3,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,72,yes,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$15,000",3,NA,NA,4,NA,NA,NA,Asst,suburban,public,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,73,yes,1,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",3,NA,NA,4,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,74,yes,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$21,111",3,"$7,000",NA,3,NA,NA,NA,Asst,suburban,public,No,USA,US W.,Doctorate,none,won't accept,Research (<=4),1,1,0
2000/2001,75,yes,1,Phd/DBA,NA,NA,NA,NA,NA,"$100,000","$22,222",2,NA,"$10,000",4,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,76,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,"$1,800","$2,500",4,NA,NA,NA,switched Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,77,yes,1,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,"$3,000",NA,4,NA,NA,NA,Asst,suburban,public,No,USA,US N.E.,Masters,National,won't accept,Research (<=4),1,1,0
2000/2001,78,NA,6,Phd/DBA,NA,NA,NA,NA,NA,"$92,007","$10,223",2,"$3,000","$7,500",5,NA,NA,NA,assoc/not tenured,rural,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,79,NA,25,Phd/DBA,NA,NA,NA,NA,NA,"$105,000","$35,000",5,NA,"$4,000",4,NA,NA,NA,full/chair,suburban,public,No,USA,NA,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,80,NA,13,Phd/DBA,NA,NA,NA,NA,NA,"$120,000","$20,000",2,"$10,000","$15,000",2,NA,NA,NA,full/chair,rural,public,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,81,NA,8,Phd/DBA,NA,NA,NA,NA,NA,"$65,000","$5,000",1,NA,"$4,000",6,NA,NA,NA,assoc/not tenured,rural,public,No,USA,US W.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,82,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$82,500","$18,333",3,NA,"$4,000",4,NA,NA,NA,Asst,suburban,public,No,USA,NA,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,83,NA,20,Phd/DBA,NA,NA,NA,NA,NA,"$135,000","$22,500",5,"$5,000","$8,000",2,NA,NA,NA,full/chair,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,84,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$86,000","$11,000",3,"$1,000","$5,000",3,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,85,NA,13,Phd/DBA,NA,NA,NA,NA,NA,"$107,000","$16,000",2,"$1,000","$8,000",4,NA,NA,NA,associate/tenure,suburban,private,No,USA,US S.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,86,NA,3,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,NA,"$7,000",4,NA,NA,NA,switched Asst,urban,private,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,87,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$80,000",NA,NA,"$3,000","$5,500",5,NA,NA,NA,switched Asst,urban,public,No,USA,US N.E.,Masters,Regional,Have accepted,Teach (>4),0,1,0
2000/2001,88,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$75,000","$4,000",2,NA,"$4,000",6,NA,NA,NA,switched Asst,rural,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,89,yes,3,Phd/DBA,NA,NA,NA,NA,NA,"$69,000","$5,000",2,"$2,000","$4,000",12,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Masters,National,won't accept,Teach (>4),1,1,0
2000/2001,90,yes,12,Phd/DBA,NA,NA,NA,NA,NA,"$75,000","$4,000",2,NA,"$4,000",6,NA,NA,NA,assoc/not tenured,suburban,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,91,yes,4,Phd/DBA,NA,NA,NA,NA,NA,"$115,000","$25,556",3,"$7,500",NA,4,NA,NA,NA,switched Asst,urban,private,No,USA,US S.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,92,yes,6,Phd/DBA,NA,NA,NA,NA,NA,"$67,588","$4,500",1,NA,$-,6,NA,NA,NA,switched Asst,suburban,public,Yes,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,93,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$61,200",NA,NA,NA,NA,4.5,NA,NA,NA,Asst,urban,public,Yes,USA,US M.W.,Masters,Regional,Have accepted,Teach (>4),0,0,0
2000/2001,94,NA,25,Phd/DBA,NA,NA,NA,NA,NA,"$180,000",NA,NA,"$20,000","$8,000",3,NA,NA,NA,full/chair,suburban,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),0,1,0
2000/2001,95,NA,4,Phd/DBA,NA,NA,NA,NA,NA,"$77,500","$7,500",1,"$5,000","$4,000",5,NA,NA,NA,switched Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,96,yes,1,PhD/DBA,NA,NA,NA,NA,NA,"$68,000","$4,000",1,"$2,000","$2,000",6,NA,NA,NA,Asst,rural,public,No,USA,US S.,Masters,unspecified,Have accepted,Teach (>4),1,1,0
2000/2001,97,yes,3,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,"$2,500","$3,500",4,NA,NA,NA,Asst,rural,mixed,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,98,yes,3,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,"$3,000","$7,000",4,NA,NA,NA,Asst,suburban,private,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,99,NA,10,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$5,000",3,"$1,000","$2,500",6,NA,NA,NA,associate/tenure,urban,private,No,USA,US W.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,100,NA,10,Phd/DBA,NA,NA,NA,NA,NA,"$94,000",NA,NA,NA,NA,6,NA,NA,NA,associate/tenure,suburban,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,101,NA,0,Phd/DBA,NA,NA,NA,NA,NA,"$75,000",NA,NA,NA,NA,6,NA,NA,NA,Asst,suburban,private,No,USA,US N.E.,Masters,Regional,Have accepted,Teach (>4),0,0,0
2000/2001,102,yes,3,Phd/DBA,NA,NA,NA,NA,NA,"$82,000",NA,NA,NA,NA,4,NA,NA,NA,switched Asst,suburban,public,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),0,0,0
2000/2001,103,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$78,000","$17,300",2,"$3,000","$5,000",2,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,104,yes,12,Phd/DBA,NA,NA,NA,NA,NA,"$92,000","$10,500",3,"$2,500","$10,500",4,NA,NA,NA,associate/tenure,suburban,public,No,USA,US W.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,105,NA,2+,Phd/DBA,NA,NA,NA,NA,NA,"$72,500",NA,NA,NA,NA,6,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,106,yes,0,Phd/DBA,NA,NA,NA,NA,NA,"$89,000","$19,777",2,"$1,500","$4,250",4,NA,NA,NA,Asst,suburban,public,No,USA,NA,Doctorate,unspecified,Have accepted,Research (<=4),1,1,0
2000/2001,107,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$88,000","$19,555",3,"$3,000","$5,000",3,NA,NA,NA,Asst,rural,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,108,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$84,000","$16,800",3,"$4,000","$5,000",4,NA,NA,NA,Asst,rural,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,109,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$85,000","$14,166",2,NA,"$5,000",4,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,110,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$71,000","$5,000",3,NA,NA,6,NA,NA,NA,Asst,rural,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,111,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$75,000","$10,000",3,NA,"$3,000",6,NA,NA,NA,Asst,urban,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,112,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$73,000","$10,000",3,NA,"$3,000",6,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,113,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$92,000","$15,000",3,"$4,500","$3,000",4,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,114,yes,1,Phd/DBA,NA,NA,NA,NA,NA,"$80,000",NA,NA,"$3,150",$-,4,NA,NA,NA,visitor,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),0,1,0
2000/2001,115,yes,3,Phd/DBA,NA,NA,NA,NA,NA,"$65,000","$6,500",1,NA,"$5,000",4,NA,NA,NA,Asst,suburban,public,No,USA,US W.,Bachelor,National,won't accept,Research (<=4),1,0,0
2000/2001,116,yes,3,Phd/DBA,NA,NA,NA,NA,NA,"$67,500","$5,000",1,NA,"$5,000",5,NA,NA,NA,Asst,suburban,public,No,USA,US W.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,117,NA,0,MBA/MS,NA,NA,NA,NA,NA,"$80,000","$10,000",2,NA,"$5,000",6,NA,NA,NA,Asst,urban,public,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,118,yes,9,Phd/DBA,NA,NA,NA,NA,NA,"$95,000",NA,NA,NA,"$5,000",0,NA,NA,NA,non-academic,non-academic,non-academic,No,USA,US N.E.,non-academic,non-academic,Have accepted,Research (<=4),0,0,0
