Year,#,identity,Yrs_exp,Educ.,Top J Pubs,Ref J Pubs,Textbooks,Research Books,Other Pubs,Salary,Summer,summer_yrs,res_budget,move_supp,tch_load,Tenure Req Lvl,Tenure Req #A,Tenure Req #tot,Position,location,pub_prvt,Union?,Country,Region,schl_deg,accredit.,Accepted?,Tch/Res,%_Summer,%_Budget,tot_J pubs
2000/2001,54,,2,Phd/DBA,,,,,," $80,000 "," $16,000 ",2,,,4,,,,Asst,suburban,private,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,55,,2,Phd/DBA,,,,,," $95,000 "," $10,000 ",2,," $10,000 ",4,,,,Asst,suburban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,0,0
2000/2001,56,,5,Phd/DBA,,,,,," $72,000 "," $10,000 ",2," $2,500 ", $- ,5,,,,switched Asst,suburban,public,No,USA,US S.,Doctorate,National,Have accepted,Teach (>4),1,1,0
2000/2001,57,,10,MBA/MS,,,,,," $75,000 "," $10,000 ",2,," $2,000 ",6,,,,switched Asst,rural,public,No,USA,US S.,Bachelor,National,Have accepted,Teach (>4),1,0,0
2000/2001,58,,5,Phd/DBA,,,,,," $77,500 "," $5,000 ",2," $1,500 "," $5,000 ",6,,,,switched Asst,rural,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,59,yes,0,Phd/DBA,,,,,," $75,000 "," $5,625 ",," $1,600 "," $13,250 ",6,,,,Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,60,yes,6,Phd/DBA,,,,,," $75,000 "," $5,000 ",1,,,6,,,,instructor,urban,public,No,USA,US S.,Masters,Regional,won't accept,Teach (>4),1,0,0
2000/2001,61,yes,6,Phd/DBA,,,,,," $50,000 ",,, $700 ," $2,500 ",6,,,,visitor,rural,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),0,1,0
2000/2001,62,yes,15,Phd/DBA,,,,,," $84,000 ",,,, $- ,6,,,,full/chair,suburban,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),0,0,0
2000/2001,63,yes,5,Phd/DBA,,,,,," $78,000 "," $17,333 ",2,," $5,000 ",2,,,,switched Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,64,,4,Phd/DBA,,,,,," $78,000 "," $8,000 ",2,," $6,000 ",4,,,,switched Asst,suburban,mixed,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,0,0
2000/2001,65,,12,Phd/DBA,,,,,," $135,000 ",,,,,3,,,,full/chair,rural,mixed,No,USA,US M.W.,Masters,National,might accept,Research (<=4),0,0,0
2000/2001,66,,5,Phd/DBA,,,,,," $110,000 "," $18,000 ",1,," $12,000 ",2,,,,associate/tenure,urban,public,No,USA,,unspecified,National,won't accept,Research (<=4),1,0,0
2000/2001,67,yes,1,Phd/DBA,,,,,," $92,000 "," $20,444 ",3,," $3,000 ",3,,,,Asst,urban,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,68,yes,1,Phd/DBA,,,,,," $76,000 "," $16,888 ",3,,,4,,,,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,69,,2,Phd/DBA,,,,,," $95,000 "," $20,000 ",3,," $5,000 ",5.5,,,,Asst,urban,private,No,USA,US W.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,70,,8,Phd/DBA,,,,,," $69,000 "," $6,000 ",1," $3,000 ", $- ,6,,,,Asst,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,71,yes,1,Phd/DBA,,,,,," $95,000 "," $21,111 ",3,," $8,000 ",3,,,,Asst,suburban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,72,yes,1,Phd/DBA,,,,,," $95,000 "," $15,000 ",3,,,4,,,,Asst,suburban,public,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,73,yes,1,Phd/DBA,,,,,," $90,000 "," $20,000 ",3,,,4,,,,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,74,yes,1,Phd/DBA,,,,,," $95,000 "," $21,111 ",3," $7,000 ",,3,,,,Asst,suburban,public,No,USA,US W.,Doctorate,none,won't accept,Research (<=4),1,1,0
2000/2001,75,yes,1,Phd/DBA,,,,,," $100,000 "," $22,222 ",2,," $10,000 ",4,,,,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,76,,2,Phd/DBA,,,,,," $90,000 "," $20,000 ",2," $1,800 "," $2,500 ",4,,,,switched Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,77,yes,1,Phd/DBA,,,,,," $90,000 "," $20,000 ",2," $3,000 ",,4,,,,Asst,suburban,public,No,USA,US N.E.,Masters,National,won't accept,Research (<=4),1,1,0
2000/2001,78,,6,Phd/DBA,,,,,," $92,007 "," $10,223 ",2," $3,000 "," $7,500 ",5,,,,assoc/not tenured,rural,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,79,,25,Phd/DBA,,,,,," $105,000 "," $35,000 ",5,," $4,000 ",4,,,,full/chair,suburban,public,No,USA,,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,80,,13,Phd/DBA,,,,,," $120,000 "," $20,000 ",2," $10,000 "," $15,000 ",2,,,,full/chair,rural,public,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,81,,8,Phd/DBA,,,,,," $65,000 "," $5,000 ",1,," $4,000 ",6,,,,assoc/not tenured,rural,public,No,USA,US W.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,82,,2,Phd/DBA,,,,,," $82,500 "," $18,333 ",3,," $4,000 ",4,,,,Asst,suburban,public,No,USA,,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,83,,20,Phd/DBA,,,,,," $135,000 "," $22,500 ",5," $5,000 "," $8,000 ",2,,,,full/chair,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,84,,2,Phd/DBA,,,,,," $86,000 "," $11,000 ",3," $1,000 "," $5,000 ",3,,,,Asst,suburban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,85,,13,Phd/DBA,,,,,," $107,000 "," $16,000 ",2," $1,000 "," $8,000 ",4,,,,associate/tenure,suburban,private,No,USA,US S.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,86,,3,Phd/DBA,,,,,," $90,000 "," $20,000 ",2,," $7,000 ",4,,,,switched Asst,urban,private,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,87,,1,Phd/DBA,,,,,," $80,000 ",,," $3,000 "," $5,500 ",5,,,,switched Asst,urban,public,No,USA,US N.E.,Masters,Regional,Have accepted,Teach (>4),0,1,0
2000/2001,88,,2,Phd/DBA,,,,,," $75,000 "," $4,000 ",2,," $4,000 ",6,,,,switched Asst,rural,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,89,yes,3,Phd/DBA,,,,,," $69,000 "," $5,000 ",2," $2,000 "," $4,000 ",12,,,,Asst,suburban,public,No,USA,US M.W.,Masters,National,won't accept,Teach (>4),1,1,0
2000/2001,90,yes,12,Phd/DBA,,,,,," $75,000 "," $4,000 ",2,," $4,000 ",6,,,,assoc/not tenured,suburban,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,91,yes,4,Phd/DBA,,,,,," $115,000 "," $25,556 ",3," $7,500 ",,4,,,,switched Asst,urban,private,No,USA,US S.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,92,yes,6,Phd/DBA,,,,,," $67,588 "," $4,500 ",1,, $- ,6,,,,switched Asst,suburban,public,Yes,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,93,,2,Phd/DBA,,,,,," $61,200 ",,,,,4.5,,,,Asst,urban,public,Yes,USA,US M.W.,Masters,Regional,Have accepted,Teach (>4),0,0,0
2000/2001,94,,25,Phd/DBA,,,,,," $180,000 ",,," $20,000 "," $8,000 ",3,,,,full/chair,suburban,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),0,1,0
2000/2001,95,,4,Phd/DBA,,,,,," $77,500 "," $7,500 ",1," $5,000 "," $4,000 ",5,,,,switched Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,96,yes,1,PhD/DBA,,,,,," $68,000 "," $4,000 ",1," $2,000 "," $2,000 ",6,,,,Asst,rural,public,No,USA,US S.,Masters,unspecified,Have accepted,Teach (>4),1,1,0
2000/2001,97,yes,3,Phd/DBA,,,,,," $90,000 "," $20,000 ",2," $2,500 "," $3,500 ",4,,,,Asst,rural,mixed,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,98,yes,3,Phd/DBA,,,,,," $90,000 "," $20,000 ",2," $3,000 "," $7,000 ",4,,,,Asst,suburban,private,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,99,,10,Phd/DBA,,,,,," $90,000 "," $5,000 ",3," $1,000 "," $2,500 ",6,,,,associate/tenure,urban,private,No,USA,US W.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,100,,10,Phd/DBA,,,,,," $94,000 ",,,,,6,,,,associate/tenure,suburban,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,101,,0,Phd/DBA,,,,,," $75,000 ",,,,,6,,,,Asst,suburban,private,No,USA,US N.E.,Masters,Regional,Have accepted,Teach (>4),0,0,0
2000/2001,102,yes,3,Phd/DBA,,,,,," $82,000 ",,,,,4,,,,switched Asst,suburban,public,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),0,0,0
2000/2001,103,,1,Phd/DBA,,,,,," $78,000 "," $17,300 ",2," $3,000 "," $5,000 ",2,,,,Asst,suburban,public,No,USA,US S.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,104,yes,12,Phd/DBA,,,,,," $92,000 "," $10,500 ",3," $2,500 "," $10,500 ",4,,,,associate/tenure,suburban,public,No,USA,US W.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,105,,2+,Phd/DBA,,,,,," $72,500 ",,,,,6,,,,Asst,suburban,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,106,yes,0,Phd/DBA,,,,,," $89,000 "," $19,777 ",2," $1,500 "," $4,250 ",4,,,,Asst,suburban,public,No,USA,,Doctorate,unspecified,Have accepted,Research (<=4),1,1,0
2000/2001,107,,2,Phd/DBA,,,,,," $88,000 "," $19,555 ",3," $3,000 "," $5,000 ",3,,,,Asst,rural,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,108,,2,Phd/DBA,,,,,," $84,000 "," $16,800 ",3," $4,000 "," $5,000 ",4,,,,Asst,rural,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,109,,2,Phd/DBA,,,,,," $85,000 "," $14,166 ",2,," $5,000 ",4,,,,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,110,yes,2,Phd/DBA,,,,,," $71,000 "," $5,000 ",3,,,6,,,,Asst,rural,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,111,yes,2,Phd/DBA,,,,,," $75,000 "," $10,000 ",3,," $3,000 ",6,,,,Asst,urban,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,112,yes,2,Phd/DBA,,,,,," $73,000 "," $10,000 ",3,," $3,000 ",6,,,,Asst,suburban,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,113,,2,Phd/DBA,,,,,," $92,000 "," $15,000 ",3," $4,500 "," $3,000 ",4,,,,Asst,suburban,public,No,USA,US M.W.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,114,yes,1,Phd/DBA,,,,,," $80,000 ",,," $3,150 ", $- ,4,,,,visitor,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),0,1,0
2000/2001,115,yes,3,Phd/DBA,,,,,," $65,000 "," $6,500 ",1,," $5,000 ",4,,,,Asst,suburban,public,No,USA,US W.,Bachelor,National,won't accept,Research (<=4),1,0,0
2000/2001,116,yes,3,Phd/DBA,,,,,," $67,500 "," $5,000 ",1,," $5,000 ",5,,,,Asst,suburban,public,No,USA,US W.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,117,,0,MBA/MS,,,,,," $80,000 "," $10,000 ",2,," $5,000 ",6,,,,Asst,urban,public,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,118,yes,9,Phd/DBA,,,,,," $95,000 ",,,," $5,000 ",0,,,,non-academic,non-academic,non-academic,No,USA,US N.E.,non-academic,non-academic,Have accepted,Research (<=4),0,0,0
2000/2001,119,,1,Phd/DBA,,,,,," $95,000 "," $21,111 ",3," $2,000 "," $5,000 ",3,,,,Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,120,yes,12,Phd/DBA,,,,,," $82,000 "," $2,000 ",2,,,6,,,,visitor,urban,public,No,USA,US W.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,121,,4,Phd/DBA,,,,,," $85,000 "," $18,888 ",2," $5,000 "," $6,000 ",3,,,,Asst,suburban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,122,,5,Phd/DBA,,,,,," $83,000 "," $7,500 ",2,," $7,500 ",3,,,,Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,123,yes,4,Phd/DBA,,,,,," $77,800 ",,,,,6,,,,Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,124,yes,5,Phd/DBA,,,,,," $90,000 ",,,, $- ,4,,,,visitor,urban,public,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),0,0,0
2000/2001,125,yes,2,Phd/DBA,,,,,," $90,000 "," $20,000 ",2," $1,500 ", $- ,4,,,,Asst,urban,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,126,yes,2,Phd/DBA,,,,,," $85,000 ",,," $1,000 ", $- ,4,,,,Asst,rural,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),0,1,0
2000/2001,127,yes,2,Phd/DBA,,,,,," $72,000 "," $6,000 ",2," $1,500 ", $- ,4,,,,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,128,,1,Phd/DBA,,,,,," $73,000 "," $5,000 ",2,," $1,000 ",6,,,,Asst,suburban,public,No,USA,US S.,Masters,Regional,Have accepted,Teach (>4),1,0,0
2000/2001,129,yes,2,Phd/DBA,,,,,," $70,000 ",,, $750 , $- ,6,,,,Asst,rural,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),0,1,0
2000/2001,130,yes,2,Phd/DBA,,,,,," $70,000 ",,, $750 , $- ,6,,,,Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),0,1,0
2000/2001,131,,20,Phd/DBA,,,,,," $135,000 "," $22,500 ",5," $5,000 "," $8,000 ",2,,,,full/chair,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,132,,3,MBA/MS,,,,,," $80,000 "," $15,000 ",2," $3,000 "," $3,000 ",4,,,,Asst,suburban,private,No,USA,US N.E.,Masters,National,won't accept,Research (<=4),1,1,0
2000/2001,133,,3,Phd/DBA,,,,,," $90,000 "," $18,000 ",3," $4,000 "," $4,000 ",3,,,,Asst,urban,mixed,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,134,,3,Phd/DBA,,,,,," $87,000 "," $14,503 ",3,," $7,000 ",4,,,,switched Asst,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,0,0
2000/2001,135,,0.5,MBA/MS,,,,,," $45,000 ",,,,,8,,,,instructor,rural,mixed,No,USA,US N.E.,Doctorate,National,Have accepted,Teach (>4),0,0,0
2000/2001,136,,2,Phd/DBA,,,,,," $89,000 "," $15,000 ",3," $5,000 "," $3,500 ",4,,,,Asst,suburban,public,No,USA,US M.W.,Doctorate,National,might accept,Research (<=4),1,1,0
